vihaan@Vihaans-MacBook-Pro validation % source .venv/bin/activate
(.venv) vihaan@Vihaans-MacBook-Pro validation % python run_all.py --model cohere

=== backend: cohere — screening + extraction in parallel ===
[run_all] start: /Users/vihaan/ReviewAid_Validation_v3.0.0/validation/.venv/bin/python 02_run_screening.py --model cohere
[run_all] start: /Users/vihaan/ReviewAid_Validation_v3.0.0/validation/.venv/bin/python 03_run_extraction.py --model cohere
[corpus] 1968 papers with PDF + criteria (731 included)
[cohere] keys:
  ...knbX: 11/1000 calls, exhausted=False
  ...Q2To: 13/1000 calls, exhausted=False
  ...NtX6: 10/1000 calls, exhausted=False
  ...sJ8t: 10/1000 calls, exhausted=False
  ...IxtD: 9/1000 calls, exhausted=False
  ...jnq5: 14/1000 calls, exhausted=False
  ...OlCf: 8/1000 calls, exhausted=False
[extraction] 2184 articles ready
[cohere] 2184 to extract (Cohere / command-a-03-2025)
[cohere] 507/2184 PMC3513028: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.47s)
[cohere] CD006546-bib-0226: exclude conf=0.07 tier=tier1_override OVERRIDE (4.58s)
[cohere] 508/2184 PMC3515466: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.28s)
[cohere] CD006546-bib-0233: exclude conf=0.0 tier=tier1_override OVERRIDE (6.04s)
[cohere] CD006546-bib-0234: exclude conf=0.07 tier=tier1_override OVERRIDE (6.16s)
[cohere] 509/2184 PMC3517358: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.06s)
[cohere] 510/2184 PMC3517846: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.77s)
[cohere] 511/2184 PMC3525032: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (5.79s)
[cohere] CD006546-bib-0240: include conf=0.27 tier=tier1_override OVERRIDE (6.16s)
[cohere] 512/2184 PMC3529678: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (9.56s)
[cohere] CD006546-bib-0241: exclude conf=0.0 tier=tier1_override OVERRIDE (15.81s)
[cohere] 513/2184 PMC3533739: conf=0.48 tier=tier1_override ungrounded_fields=0 (3.09s)
[cohere] CD006546-bib-0242: exclude conf=0.07 tier=tier1_override OVERRIDE (16.72s)
[cohere] CD006546-bib-0272: exclude conf=0.13 tier=tier1_override OVERRIDE (8.45s)
[cohere] 514/2184 PMC3526879: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (27.83s)
[cohere] CD006546-bib-0317: exclude conf=0.07 tier=tier1_override OVERRIDE (5.56s)
[cohere] 515/2184 PMC3536709: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (14.59s)
[cohere] 516/2184 PMC3532974: conf=0.48 tier=tier1_override ungrounded_fields=0 (28.28s)
[cohere] CD006546-bib-0281: include conf=0.2 tier=tier1_override OVERRIDE (15.57s)
[cohere] CD006546-bib-0244: include conf=0.2 tier=tier1_override OVERRIDE (31.5s)
[cohere] CD006546-bib-0404: exclude conf=1.0 tier=tier1_deterministic (0.05s)
[cohere] 517/2184 PMC3539107: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (3.79s)
[cohere] CD006546-bib-0360: include conf=0.2 tier=tier1_override OVERRIDE (6.68s)
[cohere] CD006546-bib-0372: include conf=0.07 tier=tier1_override OVERRIDE (4.77s)
[cohere] 518/2184 PMC3536989: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (9.37s)
[cohere] 519/2184 PMC3537701: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (8.89s)
[cohere] CD006612-bib-0001: exclude conf=0.14 tier=tier1_override OVERRIDE (7.39s)
[cohere] 520/2184 PMC3539990: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.21s)
[cohere] CD006612-bib-0008: include conf=0.29 tier=tier1_override OVERRIDE (6.95s)
[cohere] 521/2184 PMC3542441: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.87s)
[cohere] 522/2184 PMC3546025: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.93s)
[cohere] CD006612-bib-0009: exclude conf=0.14 tier=tier1_override OVERRIDE (5.83s)
[cohere] 523/2184 PMC3546023: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (10.31s)
[cohere] CD006612-bib-0017: exclude conf=0.14 tier=tier1_override OVERRIDE (5.87s)
[cohere] CD006612-bib-0003: exclude conf=0.29 tier=tier1_override OVERRIDE (15.32s)
[cohere] 524/2184 PMC3549413: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.65s)
[cohere] 525/2184 PMC3556012: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.32s)
[cohere] CD006612-bib-0020: include conf=0.21 tier=tier1_override OVERRIDE (6.13s)
[cohere] 526/2184 PMC3551224: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (7.12s)
[cohere] CD006612-bib-0021: include conf=0.21 tier=tier1_override OVERRIDE (5.71s)
[cohere] 527/2184 PMC3556767: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.56s)
[cohere] 528/2184 PMC3556334: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.5s)
[cohere] 529/2184 PMC3557008: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (4.37s)
[cohere] CD006612-bib-0036: include conf=0.29 tier=tier1_override OVERRIDE (4.94s)
[cohere] CD006612-bib-0034: include conf=0.29 tier=tier1_override OVERRIDE (9.66s)
[cohere] CD006612-bib-0038: include conf=0.21 tier=tier1_override OVERRIDE (5.64s)
[cohere] 530/2184 PMC3557743: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (7.95s)
[cohere] 531/2184 PMC3559346: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (9.12s)
[cohere] 532/2184 PMC3561645: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (9.81s)
[cohere] 533/2184 PMC3564932: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.46s)
[cohere] 534/2184 PMC3567118: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.3s)
[cohere] CD006612-bib-0051: include conf=0.29 tier=tier1_override OVERRIDE (16.46s)
[cohere] CD006612-bib-0054: include conf=0.36 tier=tier1_override OVERRIDE (16.49s)
[cohere] 535/2184 PMC3571647: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.4s)
[cohere] 536/2184 PMC3564767: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (20.24s)
[cohere] CD006612-bib-0040: include conf=0.14 tier=tier1_override OVERRIDE (30.46s)
[cohere] 537/2184 PMC3572221: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.11s)
[cohere] 538/2184 PMC3571894: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (8.25s)
[cohere] CD006612-bib-0058: exclude conf=0.29 tier=tier1_override OVERRIDE (14.19s)
[cohere] 539/2184 PMC3570228: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (21.8s)
[cohere] CD006612-bib-0056: include conf=0.29 tier=tier1_override OVERRIDE (19.52s)
[cohere] CD006612-bib-0061: include conf=0.29 tier=tier1_override OVERRIDE (5.27s)
[cohere] 540/2184 PMC3573831: conf=0.48 tier=tier1_override ungrounded_fields=1 (7.64s)
[cohere] 541/2184 PMC3575357: conf=0.48 tier=tier1_override ungrounded_fields=0 (7.32s)
[cohere] CD006612-bib-0059: include conf=0.29 tier=tier1_override OVERRIDE (11.61s)
[cohere] CD006612-bib-0063: exclude conf=0.14 tier=tier1_override OVERRIDE (4.88s)
[cohere] 542/2184 PMC3577738: conf=0.48 tier=tier1_override ungrounded_fields=0 (5.04s)
[cohere] 543/2184 PMC3576519: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (8.29s)
[cohere] CD006612-bib-0071: exclude conf=0.07 tier=tier1_override OVERRIDE (8.93s)
[cohere] 544/2184 PMC3576910: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (8.32s)
[cohere] CD006612-bib-0072: include conf=0.07 tier=tier1_override OVERRIDE (5.06s)
[cohere] CD006612-bib-0073: include conf=0.07 tier=tier1_override OVERRIDE (5.33s)
[cohere] 545/2184 PMC3577896: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.23s)
[cohere] 546/2184 PMC3577773: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.05s)
[cohere] 547/2184 PMC3580611: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (4.5s)
[cohere] CD006612-bib-0074: include conf=0.21 tier=tier1_override OVERRIDE (6.97s)
[cohere] 548/2184 PMC3580622: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (3.66s)
[cohere] 549/2184 PMC3580134: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (8.81s)
[cohere] CD006612-bib-0077: include conf=0.07 tier=tier1_override OVERRIDE (9.08s)
[cohere] CD006612-bib-0080: exclude conf=0.14 tier=tier1_override OVERRIDE (8.64s)
[cohere] 550/2184 PMC3584097: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.7s)
[cohere] 551/2184 PMC3585302: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.65s)
[cohere] CD006612-bib-0088: include conf=0.29 tier=tier1_override OVERRIDE (6.25s)
[cohere] CD006612-bib-0109: exclude conf=0.29 tier=tier1_override OVERRIDE (4.37s)
[cohere] CD006612-bib-0098: exclude conf=0.29 tier=tier1_override OVERRIDE (5.55s)
[cohere] 552/2184 PMC3585965: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.46s)
[cohere] 553/2184 PMC3586143: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (4.55s)
[cohere] 554/2184 PMC3590739: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.09s)
[cohere] CD006612-bib-0112: exclude conf=0.14 tier=tier1_override OVERRIDE (5.39s)
[cohere] CD006612-bib-0126: include conf=0.14 tier=tier1_override OVERRIDE (8.71s)
[cohere] CD006612-bib-0116: include conf=0.14 tier=tier1_override OVERRIDE (14.6s)
[cohere] 555/2184 PMC3591547: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (13.09s)
[cohere] 556/2184 PMC3596913: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (15.18s)
[cohere] CD006612-bib-0128: include conf=0.29 tier=tier1_override OVERRIDE (8.56s)
[cohere] 557/2184 PMC3597472: conf=0.48 tier=tier1_override ungrounded_fields=0 (15.69s)
[cohere] CD006612-bib-0117: include conf=0.29 tier=tier1_override OVERRIDE (30.38s)
[cohere] CD006612-bib-0130: include conf=0.14 tier=tier1_override OVERRIDE (17.54s)
[cohere] CD006748-bib-0003: exclude conf=1.0 tier=tier1_deterministic (0.07s)
[cohere] 558/2184 PMC3599792: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (14.47s)
[cohere] CD006612-bib-0131: include conf=0.21 tier=tier1_override OVERRIDE (12.7s)
[cohere] CD006748-bib-0006: exclude conf=1.0 tier=tier1_deterministic (0.07s)
[cohere] 559/2184 PMC3597059: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (31.15s)
[cohere] 560/2184 PMC3599938: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (4.99s)
[cohere] CD006748-bib-0004: include conf=0.07 tier=tier1_override OVERRIDE (4.84s)
[cohere] CD006748-bib-0012: exclude conf=1.0 tier=tier1_deterministic (0.08s)
[cohere] CD006748-bib-0001: exclude conf=0.14 tier=tier1_override OVERRIDE (6.03s)
[cohere] CD006748-bib-0015: exclude conf=1.0 tier=tier1_deterministic (0.07s)
[cohere] CD006748-bib-0018: exclude conf=1.0 tier=tier1_deterministic (0.04s)
[cohere] 561/2184 PMC3599990: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.51s)
[cohere] 562/2184 PMC3603112: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.81s)
[cohere] CD006748-bib-0008: include conf=0.14 tier=tier1_override OVERRIDE (6.64s)
[cohere] CD006748-bib-0024: exclude conf=1.0 tier=tier1_deterministic (0.06s)
[cohere] CD006748-bib-0019: include conf=0.14 tier=tier1_override OVERRIDE (5.06s)
[cohere] 563/2184 PMC3604854: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.3s)
[cohere] 564/2184 PMC3604641: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (8.48s)
[cohere] CD006748-bib-0013: include conf=0.29 tier=tier1_override OVERRIDE (9.59s)
[cohere] CD006748-bib-0027: exclude conf=0.43 tier=tier1_override OVERRIDE (5.65s)
[cohere] CD006748-bib-0030: exclude conf=1.0 tier=tier1_deterministic (0.03s)
[cohere] CD006748-bib-0032: exclude conf=1.0 tier=tier1_deterministic (0.02s)
[cohere] CD006748-bib-0028: include conf=0.07 tier=tier1_override OVERRIDE (4.78s)
[cohere] 565/2184 PMC3600348: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (14.32s)
[cohere] CD006748-bib-0029: include conf=0.07 tier=tier1_override OVERRIDE (4.15s)
[cohere] 566/2184 PMC3608893: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (5.31s)
[cohere] CD006748-bib-0033: include conf=0.07 tier=tier1_override OVERRIDE (5.51s)
[cohere] 567/2184 PMC3611073: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.39s)
[cohere] CD006748-bib-0034: include conf=0.43 tier=tier1_override OVERRIDE (6.49s)
[cohere] CD006748-bib-0039: exclude conf=1.0 tier=tier1_deterministic (0.07s)
[cohere] CD006748-bib-0040: exclude conf=1.0 tier=tier1_deterministic (0.04s)
[cohere] CD006748-bib-0043: exclude conf=1.0 tier=tier1_deterministic (0.04s)
[cohere] CD006748-bib-0037: include conf=0.07 tier=tier1_override OVERRIDE (5.28s)
[cohere] 568/2184 PMC3611646: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.54s)
[cohere] CD006748-bib-0038: include conf=0.07 tier=tier1_override OVERRIDE (6.97s)
[cohere] CD006748-bib-0047: exclude conf=1.0 tier=tier1_deterministic (0.06s)
[cohere] CD006748-bib-0050: exclude conf=1.0 tier=tier1_deterministic (0.05s)
[cohere] CD006748-bib-0051: exclude conf=1.0 tier=tier1_deterministic (0.03s)
[cohere] 569/2184 PMC3608590: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (14.33s)
[cohere] CD006748-bib-0045: exclude conf=0.14 tier=tier1_override OVERRIDE (6.14s)
[cohere] 570/2184 PMC3612585: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.96s)
[cohere] CD006748-bib-0046: include conf=0.29 tier=tier1_override OVERRIDE (6.51s)
[cohere] CD006748-bib-0054: exclude conf=1.0 tier=tier1_deterministic (0.07s)
[cohere] CD006748-bib-0052: include conf=0.14 tier=tier1_override OVERRIDE (6.13s)
[cohere] 571/2184 PMC3616124: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.95s)
[cohere] 572/2184 PMC3614647: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (8.8s)
[cohere] CD006748-bib-0057: include conf=0.07 tier=tier1_override OVERRIDE (8.45s)
[cohere] CD006748-bib-0060: exclude conf=1.0 tier=tier1_deterministic (0.07s)
[cohere] CD006748-bib-0061: exclude conf=1.0 tier=tier1_deterministic (0.03s)
[cohere] 573/2184 PMC3620516: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.37s)
[cohere] 574/2184 PMC3617313: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (17.53s)
[cohere] CD006748-bib-0053: include conf=0.29 tier=tier1_override OVERRIDE (18.39s)
[cohere] CD006748-bib-0056: include conf=0.14 tier=tier1_override OVERRIDE (20.93s)
[cohere] CD006748-bib-0071: exclude conf=1.0 tier=tier1_deterministic (0.08s)
[cohere] CD006748-bib-0067: include conf=0.14 tier=tier1_override OVERRIDE (6.25s)
[cohere] 575/2184 PMC3620559: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (13.02s)
[cohere] CD006748-bib-0074: include conf=0.07 tier=tier1_override OVERRIDE (4.61s)
[cohere] CD006748-bib-0077: exclude conf=1.0 tier=tier1_deterministic (0.08s)
[cohere] CD006748-bib-0079: exclude conf=1.0 tier=tier1_deterministic (0.02s)
[cohere] CD006748-bib-0064: include conf=0.21 tier=tier1_override OVERRIDE (18.47s)
[cohere] CD006748-bib-0082: exclude conf=1.0 tier=tier1_deterministic (0.04s)
[cohere] CD006748-bib-0083: exclude conf=1.0 tier=tier1_deterministic (0.03s)
[cohere] CD006748-bib-0084: exclude conf=1.0 tier=tier1_deterministic (0.05s)
[cohere] CD006748-bib-0085: exclude conf=1.0 tier=tier1_deterministic (0.03s)
[cohere] CD006748-bib-0087: exclude conf=1.0 tier=tier1_deterministic (0.03s)
[cohere] 576/2184 PMC3627033: conf=0.3 tier=tier1_override ungrounded_fields=0 (5.37s)
[cohere] 577/2184 PMC3626705: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (15.37s)
[cohere] CD006748-bib-0080: exclude conf=0.07 tier=tier1_override OVERRIDE (5.5s)
[cohere] 578/2184 PMC3620378: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (31.87s)
[cohere] CD006748-bib-0088: include conf=0.07 tier=tier1_override OVERRIDE (5.44s)
[cohere] 579/2184 PMC3628658: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.29s)
[cohere] CD006748-bib-0072: include conf=0.07 tier=tier1_override OVERRIDE (16.21s)
[cohere] CD006748-bib-0095: exclude conf=1.0 tier=tier1_deterministic (0.06s)
[cohere] CD006748-bib-0091: include conf=0.36 tier=tier1_override OVERRIDE (6.69s)
[cohere] CD006748-bib-0099: exclude conf=1.0 tier=tier1_deterministic (0.05s)
[cohere] CD006748-bib-0100: exclude conf=1.0 tier=tier1_deterministic (0.04s)
[cohere] 580/2184 PMC3628802: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (8.79s)
[cohere] CD006748-bib-0093: include conf=0.14 tier=tier1_override OVERRIDE (4.91s)
[cohere] CD006748-bib-0107: exclude conf=1.0 tier=tier1_deterministic (0.05s)
[cohere] CD006748-bib-0110: exclude conf=1.0 tier=tier1_deterministic (0.05s)
[cohere] 581/2184 PMC3635645: conf=0.48 tier=tier1_override ungrounded_fields=0 (6.68s)
[cohere] 582/2184 PMC3633335: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.98s)
[cohere] CD006748-bib-0096: include conf=0.29 tier=tier1_override OVERRIDE (7.68s)
[cohere] CD006748-bib-0103: include conf=0.07 tier=tier1_override OVERRIDE (6.51s)
[cohere] CD006748-bib-0111: include conf=0.21 tier=tier1_override OVERRIDE (6.6s)
[cohere] 583/2184 PMC3636800: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.04s)
[cohere] CD006748-bib-0117: exclude conf=0.29 tier=tier1_override OVERRIDE (5.04s)
[cohere] 584/2184 PMC3636767: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.89s)
[cohere] CD006748-bib-0119: include conf=0.07 tier=tier1_override OVERRIDE (5.36s)
[cohere] CD006748-bib-0120: include conf=0.07 tier=tier1_override OVERRIDE (4.72s)
[cohere] 585/2184 PMC3635879: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (14.97s)
[cohere] CD006748-bib-0122: exclude conf=0.0 tier=tier1_override OVERRIDE (3.38s)
[cohere] CD006748-bib-0121: include conf=0.14 tier=tier1_override OVERRIDE (5.41s)
[cohere] 586/2184 PMC3640164: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.36s)
[cohere] 587/2184 PMC3640161: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (11.71s)
[cohere] 588/2184 PMC3637243: conf=0.48 tier=tier1_override ungrounded_fields=0 (14.14s)
[cohere] 589/2184 PMC3642659: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (3.25s)
[cohere] CD006748-bib-0123: include conf=0.29 tier=tier1_override OVERRIDE (10.31s)
[cohere] CD006748-bib-0126: include conf=0.14 tier=tier1_override OVERRIDE (8.44s)
[cohere] 590/2184 PMC3648394: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.49s)
[cohere] 591/2184 PMC3650238: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.1s)
[cohere] CD006748-bib-0124: include conf=0.0 tier=tier1_override OVERRIDE (20.29s)
[cohere] CD006748-bib-0134: exclude conf=1.0 tier=tier1_deterministic (0.07s)
[cohere] CD006748-bib-0135: exclude conf=1.0 tier=tier1_deterministic (0.03s)
[cohere] CD006748-bib-0137: exclude conf=1.0 tier=tier1_deterministic (0.04s)
[cohere] CD006748-bib-0141: exclude conf=1.0 tier=tier1_deterministic (0.02s)
[cohere] 592/2184 PMC3650212: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (14.04s)
[cohere] 593/2184 PMC3649350: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (14.32s)
[cohere] CD006748-bib-0129: include conf=0.07 tier=tier1_override OVERRIDE (14.65s)
[cohere] CD006748-bib-0146: exclude conf=1.0 tier=tier1_deterministic (0.06s)
[cohere] 594/2184 PMC3651817: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (8.41s)
[cohere] CD006748-bib-0149: include conf=0.07 tier=tier1_override OVERRIDE (5.5s)
[cohere] CD006748-bib-0150: exclude conf=1.0 tier=tier1_deterministic (0.05s)
[cohere] CD006748-bib-0152: include conf=0.0 tier=tier1_override OVERRIDE (5.21s)
[cohere] CD006748-bib-0157: exclude conf=1.0 tier=tier1_deterministic (0.04s)
[cohere] CD006748-bib-0158: exclude conf=1.0 tier=tier1_deterministic (0.04s)
[cohere] CD006748-bib-0159: exclude conf=1.0 tier=tier1_deterministic (0.02s)
[cohere] CD006748-bib-0162: exclude conf=1.0 tier=tier1_deterministic (0.04s)
[cohere] CD006748-bib-0142: include conf=0.21 tier=tier1_override OVERRIDE (14.42s)
[cohere] 595/2184 PMC3652505: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (13.86s)
[cohere] CD006748-bib-0132: include conf=0.07 tier=tier1_override OVERRIDE (28.15s)
[cohere] 596/2184 PMC3654355: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.43s)
[cohere] CD007228-bib-0028: include conf=0.21 tier=tier1_override OVERRIDE (8.05s)
[cohere] CD007228-bib-0010: include conf=0.29 tier=tier1_override OVERRIDE (10.59s)
[cohere] CD007228-bib-0029: include conf=0.21 tier=tier1_override OVERRIDE (6.37s)
[cohere] 597/2184 PMC3655855: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (6.2s)
[cohere] CD007228-bib-0055: exclude conf=0.21 tier=tier1_override OVERRIDE (4.44s)
[cohere] CD007228-bib-0049: exclude conf=0.29 tier=tier1_override OVERRIDE (5.52s)
[cohere] CD007228-bib-0050: exclude conf=0.29 tier=tier1_override OVERRIDE (5.32s)
[cohere] CD007228-bib-0057: include conf=0.21 tier=tier1_override OVERRIDE (4.82s)
[cohere] 598/2184 PMC3657667: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.09s)
[cohere] CD007228-bib-0069: include conf=0.29 tier=tier1_override OVERRIDE (5.85s)
[cohere] CD007228-bib-0072: include conf=0.29 tier=tier1_override OVERRIDE (5.93s)
[cohere] 599/2184 PMC3657931: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.54s)
[cohere] CD007228-bib-0104: include conf=0.14 tier=tier1_override OVERRIDE (5.98s)
[cohere] CD007228-bib-0076: include conf=0.14 tier=tier1_override OVERRIDE (7.65s)
[cohere] CD007228-bib-0111: include conf=0.21 tier=tier1_override OVERRIDE (5.86s)
[cohere] 600/2184 PMC3661239: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (4.21s)
[cohere] 601/2184 PMC3653258: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (38.37s)
[cohere] CD007228-bib-0113: include conf=0.21 tier=tier1_override OVERRIDE (5.59s)
[cohere] CD007228-bib-0127: exclude conf=0.21 tier=tier1_override OVERRIDE (5.87s)
[cohere] CD007228-bib-0132: exclude conf=0.29 tier=tier1_override OVERRIDE (6.17s)
[cohere] 602/2184 PMC3661884: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.05s)
[cohere] CD007228-bib-0157: exclude conf=0.21 tier=tier1_override OVERRIDE (3.69s)
[cohere] 603/2184 PMC3662597: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.24s)
[cohere] 604/2184 PMC3653044: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (49.89s)
[cohere] CD007228-bib-0152: exclude conf=0.21 tier=tier1_override OVERRIDE (5.57s)
[cohere] CD007228-bib-0151: include conf=0.29 tier=tier1_override OVERRIDE (6.71s)
[cohere] 605/2184 PMC3663169: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.34s)
[cohere] 606/2184 PMC3664086: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.38s)
[cohere] CD007228-bib-0168: exclude conf=0.21 tier=tier1_override OVERRIDE (5.16s)
[cohere] CD007228-bib-0166: include conf=0.21 tier=tier1_override OVERRIDE (6.83s)
[cohere] CD007228-bib-0170: exclude conf=0.14 tier=tier1_override OVERRIDE (10.19s)
[cohere] CD007228-bib-0173: include conf=0.21 tier=tier1_override OVERRIDE (5.51s)
[cohere] 607/2184 PMC3671204: conf=0.8 tier=tier2_llm_selfassess ungrounded_fields=0 (7.05s)
[cohere] 608/2184 PMC3668955: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (15.3s)
[cohere] CD007228-bib-0182: exclude conf=0.14 tier=tier1_override OVERRIDE (4.91s)
[cohere] CD007228-bib-0195: include conf=0.14 tier=tier1_override OVERRIDE (5.47s)
[cohere] 609/2184 PMC3669111: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (19.46s)
[cohere] CD007228-bib-0179: exclude conf=0.14 tier=tier1_override OVERRIDE (17.47s)
[cohere] 610/2184 PMC3678237: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (9.89s)
[cohere] CD007228-bib-0190: include conf=0.21 tier=tier1_override OVERRIDE (14.38s)
[cohere] 611/2184 PMC3678501: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.03s)
[cohere] 612/2184 PMC3671234: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (17.64s)
[cohere] CD007228-bib-0201: exclude conf=0.21 tier=tier1_override OVERRIDE (6.15s)
[cohere] CD007228-bib-0223: include conf=0.21 tier=tier1_override OVERRIDE (4.41s)
[cohere] 613/2184 PMC3681374: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.97s)
[cohere] 614/2184 PMC3682293: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.29s)
[cohere] 615/2184 PMC3682900: conf=0.48 tier=tier1_override ungrounded_fields=0 (6.55s)
[cohere] CD007228-bib-0198: include conf=0.29 tier=tier1_override OVERRIDE (15.0s)
[cohere] 616/2184 PMC3685524: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (6.13s)
[cohere] 617/2184 PMC3687261: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.46s)
